,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),title,worldwide gross,worldwide gross (m),x times budget recovered,year
500,1347%,62.2%,37.8%,3.0,2010's,25,153,The Witch,"40,423,945",40.0,13.5,2016
501,407%,28.7%,71.3%,100.0,2010's,117,290,The Wolf of Wall Street,"406,878,233",407.0,4.1,2013
502,314%,32.0%,68.0%,132.0,2010's,133,282,The Wolverine,"414,828,246",415.0,3.1,2013
503,268%,35.1%,64.9%,135.0,1990's,127,235,The World Is Not Enough,"361,832,400",362.0,2.7,1999
504,1608%,47.7%,52.3%,23.0,1990's,176,193,There's Something About Mary,"369,884,651",370.0,16.1,1998
505,300%,40.3%,59.7%,150.0,2010's,181,268,Thor,"449,326,618",449.0,3.0,2011
506,304%,45.1%,54.9%,250.0,2020's,343,418,Thor: Love and Thunder,"760,928,081",761.0,3.0,2022
507,474%,36.9%,63.1%,180.0,2010's,315,539,Thor: Ragnarok,"853,983,879",854.0,4.7,2017
508,379%,32.0%,68.0%,170.0,2010's,206,438,Thor: The Dark World,"644,783,140",645.0,3.8,2013
509,1101%,30.0%,70.0%,200.0,1990's,659,1542,Titanic,"2,201,647,264",2202.0,11.0,1997
510,303%,37.6%,62.4%,110.0,1990's,125,208,Tomorrow Never Dies,"333,011,068",333.0,3.0,1997
511,2382%,50.4%,49.6%,15.0,1980's,180,177,Top Gun,"357,288,178",357.0,23.8,1986
512,875%,48.2%,51.8%,170.0,2020's,717,770,Top Gun: Maverick,"1,486,657,763",1487.0,8.7,2022
513,1315%,56.6%,43.4%,30.0,1990's,223,171,Toy Story,"394,436,586",394.0,13.1,1995
514,553%,49.4%,50.6%,90.0,1990's,246,252,Toy Story 2,"497,375,381",497.0,5.5,1999
515,533%,38.9%,61.1%,200.0,2010's,415,652,Toy Story 3,"1,066,970,811",1067.0,5.3,2010
516,537%,40.4%,59.6%,200.0,2010's,434,639,Toy Story 4,"1,073,394,593",1073.0,5.4,2019
517,355%,45.0%,55.0%,200.0,2000's,319,390,Transformers,"709,709,780",710.0,3.5,2007
518,526%,22.2%,77.8%,210.0,2010's,245,859,Transformers: Age of Extinction,"1,104,054,072",1104.0,5.3,2014
519,642%,31.4%,68.6%,175.0,2010's,352,771,Transformers: Dark of the Moon,"1,123,794,079",1124.0,6.4,2011
520,418%,48.1%,51.9%,200.0,2000's,402,434,Transformers: Revenge of the Fallen,"836,303,693",836.0,4.2,2009
521,279%,21.5%,78.5%,217.0,2010's,130,475,Transformers: The Last Knight,"605,425,157",605.0,2.8,2017
522,278%,44.4%,55.6%,125.0,2010's,154,193,Trolls,"347,182,886",347.0,2.8,2016
523,235%,43.0%,57.0%,170.0,2010's,172,228,Tron: Legacy,"400,063,852",400.0,2.4,2010
524,269%,26.8%,73.2%,185.0,2000's,133,364,Troy,"497,409,852",497.0,2.7,2004
525,316%,38.6%,61.4%,120.0,1990's,146,233,True Lies,"378,882,411",379.0,3.2,1994
526,2710%,42.9%,57.1%,3.5,2010's,40,541,Truth or Dare,"94,835,301",95.0,27.1,2018
527,1104%,47.5%,52.5%,37.0,2000's,194,214,Twilight,"408,430,415",408.0,11.0,2008
528,442%,100.0%,132.4%,68.0,2010's,300,3980,Twilight: Eclipse        ,"698,490,000",301.0,4.4,2010
529,1422%,41.9%,58.1%,50.0,2000's,298,413,Twilight: New Moon,"711,025,481",711.0,14.2,2009
530,538%,48.9%,51.1%,92.0,1990's,242,253,Twister,"494,580,615",495.0,5.4,1996
531,335%,37.0%,63.0%,120.0,2020's,149,253,Uncharted,"401,748,820",402.0,3.3,2022
532,1371%,54.0%,46.0%,1.7,2000's,12,107,Under the Same Moon,"23,310,000",23.0,13.7,2008
533,420%,39.9%,60.1%,175.0,2000's,293,442,Up,"735,099,102",735.0,4.2,2009
534,1083%,70.4%,29.6%,20.0,2010's,152,642,Us,"216,581,515",216.6,10.8,2019
535,738%,24.9%,75.1%,116.0,2010's,214,643,Venom,"856,085,151",856.0,7.4,2018
536,461%,42.1%,57.9%,110.0,2020's,214,293,Venom: Let There Be Carnage,"506,863,592",507.0,4.6,2021
537,1109%,86.0%,14.0%,2.0,2000's,19,31,Waitress,"22,179,483",22.0,11.1,2007
538,290%,42.9%,57.1%,180.0,2000's,224,298,WALL·E,"521,311,890",521.0,2.9,2008
539,457%,39.3%,60.7%,75.0,2000's,135,208,Wanted,"342,463,063",342.0,4.6,2008
540,323%,29.9%,70.1%,152.0,2010's,147,344,War for the Planet of the Apes,"490,719,763",491.0,3.2,2017
541,457%,38.8%,61.2%,132.0,2000's,234,370,War of the Worlds,"603,873,119",604.0,4.6,2005
542,2241%,100.0%,0.0%,3.0,2010's,67,0,War Room,"67,217,187",67.0,22.4,2015
543,274%,10.8%,89.2%,160.0,2010's,47,392,Warcraft,"439,048,914",439.0,2.7,2016
544,534%,48.9%,51.1%,70.0,2000's,183,191,What Women Want,"374,111,707",374.0,5.3,2000
545,2514%,100.0%,31.7%,1.3,2010's,32,104,When in Rome,"43,040,000",33.0,25.1,2010
546,660%,47.4%,52.6%,50.0,1980's,156,173,Who Framed Roger Rabbit,"329,803,958",330.0,6.6,1988
547,411%,50.2%,49.8%,200.0,2010's,413,410,Wonder Woman,"822,854,286",823.0,4.1,2017
548,284%,37.5%,62.5%,190.0,2010's,203,338,World War Z,"540,455,876",540.0,2.8,2013
549,286%,40.2%,59.8%,165.0,2010's,189,282,Wreck-It Ralph,"471,222,889",471.0,2.9,2012
550,249%,48.2%,51.8%,150.0,2000's,180,193,X-Men Origins: Wolverine,"373,062,864",373.0,2.5,2009
551,306%,28.6%,71.4%,178.0,2010's,155,388,X-Men: Apocalypse,"543,934,105",544.0,3.1,2016
552,364%,31.4%,68.6%,205.0,2010's,234,512,X-Men: Days of Future Past,"746,045,700",746.0,3.6,2014
553,220%,41.5%,58.5%,160.0,2010's,146,206,X-Men: First Class,"352,616,690",353.0,2.2,2011
554,219%,50.9%,49.1%,210.0,2000's,234,226,X-Men: The Last Stand,"460,435,291",460.0,2.2,2006
555,371%,52.7%,47.3%,110.0,2000's,215,193,X2: X-Men United,"407,711,549",408.0,3.7,2003
556,407%,13.0%,87.0%,85.0,2010's,45,301,xXx: Return of Xander Cage,"346,118,277",346.0,4.1,2017
557,695%,32.7%,67.3%,150.0,2010's,341,701,Zootopia,"1,042,533,689",1043.0,7.0,2016
