,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),title,worldwide gross,worldwide gross (m),x times budget recovered,year
100,1094%,52.0%,48.0%,17.0,2010's,96,892,Downton Abbey,"185,922,715",185.9,10.9,2019
101,411%,34.3%,65.7%,165.0,2010's,233,445,Dr Strange,"677,796,076",678.0,4.1,2016
102,478%,43.0%,57.0%,200.0,2020's,411,544,Dr Strange: Multiverse of Madness,"955,775,804",956.0,4.8,2022
103,1219%,29.6%,70.4%,8.5,2010's,30,729,Dragon Ball Super: Broly,"103,627,891",103.6,12.2,2019
104,208%,32.5%,67.5%,170.0,2010's,115,239,Dumbo,"353,284,621",353.0,2.1,2019
105,244%,27.0%,73.0%,165.0,2020's,108,294,Dune,"401,847,900",402.0,2.4,2021
106,527%,36.0%,64.0%,100.0,2010's,190,337,Dunkirk,"527,016,307",527.0,5.3,2017
107,7552%,55.1%,44.9%,10.5,1980's,437,356,E.T.,"792,910,554",793.0,75.5,1982
108,208%,27.0%,73.0%,178.0,2010's,100,270,Edge of Tomorrow,"370,541,256",371.0,2.1,2014
109,1737%,54.4%,45.6%,31.0,1980's,293,246,Empire Strikes Back,"538,375,067",538.0,17.4,1980
110,401%,37.5%,62.5%,85.0,2000's,128,213,Enchanted,"340,487,836",340.0,4.0,2007
111,1705%,37.1%,62.9%,9.0,2010's,56,965,Escape Room,"153,411,208",153.4,17.0,2019
112,201%,41.0%,59.0%,200.0,2020's,165,237,Eternals,"402,064,899",402.0,2.0,2021
113,363%,23.8%,76.2%,200.0,2020's,173,553,F9: The Fast Saga,"726,229,501",726.0,3.6,2021
114,407%,28.8%,71.2%,200.0,2010's,234,580,Fantastic Beasts and Where to Find Them,"814,044,001",814.0,4.1,2016
115,327%,24.4%,75.6%,200.0,2010's,160,495,Fantastic Beasts: The Crimes of Grindelwald,"654,855,901",655.0,3.3,2018
116,203%,23.7%,76.3%,200.0,2020's,96,309,Fantastic Beasts: The Secrets of Dumbledore,"405,161,334",405.0,2.0,2022
117,278%,46.4%,53.6%,120.0,2000's,155,179,Fantastic Four,"333,535,934",334.0,2.8,2005
118,424%,43.0%,57.0%,85.0,2000's,155,205,Fast & Furious,"360,366,870",360.0,4.2,2009
119,493%,30.3%,69.7%,160.0,2010's,239,550,Fast & Furious 6,"788,680,968",789.0,4.9,2013
120,501%,33.5%,66.5%,125.0,2010's,210,416,Fast Five,"626,137,675",626.0,5.0,2011
121,2287%,48.9%,51.1%,14.0,1980's,157,164,Fatal Attraction,"320,145,693",320.0,22.9,1987
122,694%,30.0%,70.0%,55.0,2010's,115,267,Fifty Shades Darker,"381,545,846",382.0,6.9,2017
123,676%,27.0%,73.0%,55.0,2010's,100,272,Fifty Shades Freed,"371,985,018",372.0,6.8,2018
124,1424%,29.2%,70.8%,40.0,2010's,166,403,Fifty Shades of Grey,"569,651,467",570.0,14.2,2015
125,514%,47.3%,52.7%,200.0,2010's,486,542,Finding Dory,"1,028,570,942",1029.0,5.1,2016
126,1000%,40.5%,59.5%,94.0,2000's,381,560,Finding Nemo,"940,352,645",940.0,10.0,2003
127,6696%,99.9%,0.1%,0.5,2000's,33,0,Fireproof,"33,480,000",33.0,67.0,2008
128,1233%,48.7%,51.3%,55.0,1990's,330,348,Forrest Gump,"678,226,465",678.0,12.3,1994
129,265%,36.7%,63.3%,125.0,2020's,122,210,Free Guy,"331,526,598",332.0,2.7,2021
130,870%,30.7%,69.3%,150.0,2010's,401,904,Frozen,"1,304,550,716",1305.0,8.7,2013
