title,unadjusted gross ($m),inflation adjusted gross ($m),% budget recovered,x times budget recovered,budget  (m),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label
GoldenEye,352,698,587%,5.9,60,106,30.20%,246,69.80%,"352,194,034",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=616,https://en.wikipedia.org/wiki/Basic_Instinct,
Gone Girl,369,470,605%,6.1,61,168,45.40%,202,54.60%,"369,330,363",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=578,,
Gravity,723,935,723%,7.2,100,274,37.90%,449,62.10%,"723,192,705",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=326,,
Grease,396,"1,888",6605%,66,6,190,48.00%,206,52.00%,"396,271,103",1978,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=536,"https://www.broadway.com/buzz/181221/happy-birthday-grease-37-fun-facts-about-the-highest-grossing-movie-musical-of-all-time/#:~:text=Grease%20only%20cost%20%246%20million,movie%20musical%20of%20all%20time.",
Green Book,322,386,1399%,14,23,85,26.40%,237,73.60%,"321,752,656",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=674,,
Guardians of the Galaxy,773,984,455%,4.5,170,334,43.20%,440,56.80%,"773,350,147",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=308,,
Guardians of the Galaxy Vol. 2,864,"1,059",432%,4.3,200,390,45.10%,474,54.90%,"863,756,051",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=280,,
Hancock,629,888,420%,4.2,150,228,36.20%,401,63.80%,"629,443,428",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=360,,
Hannibal,352,598,404%,4,87,165,46.90%,187,53.10%,"351,692,268",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=619,https://en.wikipedia.org/wiki/Hannibal_(2001_film),
Happy Feet,384,577,384%,3.8,100,198,51.50%,186,48.50%,"384,336,108",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=550,https://en.wikipedia.org/wiki/Happy_Feet,
Harry Potter & the Chamber of Secrets,903,"1,518",903%,9,100,263,29.10%,640,70.90%,"902,746,596",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=266,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",
Harry Potter & the Deathly Hallows: Pt 1,977,"1,342",782%,7.8,125,296,30.30%,681,69.70%,"977,070,383",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=251,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,
Harry Potter & the Deathly Hallows: Pt 2,1342,"1,815",1074%,10.7,125,381,28.40%,961,71.60%,"1,342,359,942",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=214,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,
Harry Potter & the Goblet of Fire,897,"1,400",598%,6,150,290,32.40%,606,67.60%,"896,815,106",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=269,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",
Harry Potter & the Half-Blood Prince,934,"1,318",374%,3.7,250,302,32.40%,632,67.60%,"934,483,039",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=263,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",
Harry Potter & the Order of the Phoenix,942,"1,386",628%,6.3,150,292,31.00%,650,69.00%,"942,218,425",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=260,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",
Harry Potter & the Prisoner of Azkaban,798,"1,282",614%,6.1,130,250,31.40%,548,68.60%,"797,660,766",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=295,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",
Harry Potter & the Sorcerer's Stone,1024,"1,741",819%,8.2,125,319,31.20%,705,68.80%,"1,023,842,938",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=247,"https://www.statista.com/statistics/323356/harry-potter-production-costs-box-office-revenue/#:~:text=The%20production%20budget%20for%20the,the%20Half%2DBlood%20Prince'.",
Hitch,372,580,531%,5.3,70,179,48.30%,192,51.70%,"371,594,210",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=573,https://en.wikipedia.org/wiki/Hitch_(film),
Hobbs & Shaw,761,900,380%,3.8,200,174,22.90%,587,77.10%,"760,732,926",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=311,,
Home,386,492,286%,2.9,135,177,46.00%,209,54.00%,"386,041,607",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=547,,
Home Alone,477,"1,114",2648%,26.5,18,286,60.00%,191,40.00%,"476,684,675",1990,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=444,https://en.wikipedia.org/wiki/Home_Alone,
Home Alone 2,359,774,1282%,12.8,28,174,48.40%,185,51.60%,"358,994,850",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=599,https://en.wikipedia.org/wiki/Home_Alone_2:_Lost_in_New_York,
Hotel Transylvania,358,471,422%,4.2,85,148,41.40%,210,58.60%,"358,375,603",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=600,,
Hotel Transylvania 2,475,605,594%,5.9,80,170,35.70%,305,64.30%,"475,186,706",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=446,,
Hotel Transylvania 3,529,635,661%,6.6,80,168,31.70%,361,68.30%,"528,583,774",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=412,,
How the Grinch Stole Christmas,346,610,281%,2.8,123,261,75.40%,85,24.60%,"345,823,032",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=634,https://www.imdb.com/title/tt0170016/,
How to Train Your Dragon,495,680,300%,3,165,218,44.00%,277,56.00%,"494,879,471",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=430,,
How to Train Your Dragon 2,622,791,429%,4.3,145,177,28.50%,445,71.50%,"621,537,519",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=366,,
How to Train Your Dragon: The Hidden World,525,620,407%,4.1,129,161,30.70%,364,69.30%,"524,580,592",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=416,,
I Am Legend,585,861,390%,3.9,150,256,43.80%,329,56.20%,"585,410,052",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=382,https://en.wikipedia.org/wiki/I_Am_Legend_(film),
"I, Robot",353,568,294%,2.9,120,145,41.00%,208,59.00%,"353,133,898",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=611,"https://en.wikipedia.org/wiki/I,_Robot_(film)",
Ice Age,383,644,639%,6.4,60,176,46.00%,207,54.00%,"383,257,136",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=554,https://en.wikipedia.org/wiki/Ice_Age_(2002_film),
Ice Age: Collision Course,409,514,389%,3.9,105,64,15.70%,345,84.30%,"408,754,975",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=517,https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course,
Ice Age: Continental Drift,877,"1,152",923%,9.2,95,161,18.40%,716,81.60%,"877,244,782",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=275,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,
Ice Age: Dawn of the Dinosaurs,887,"1,250",985%,9.9,90,197,22.20%,690,77.80%,"886,686,817",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=272,https://en.wikipedia.org/wiki/Ice_Age:_Dawn_of_the_Dinosaurs,
Ice Age: The Meltdown,667,"1,002",834%,8.3,80,195,29.30%,472,70.70%,"667,094,506",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=345,https://en.wikipedia.org/wiki/Ice_Age:_The_Meltdown,
Inception,837,"1,150",523%,5.2,160,293,35.00%,544,65.00%,"836,848,102",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=285,https://www.google.com/search?q=inception+budget&oq=inception+budget&aqs=chrome..69i57j0i512l3j0i22i30j0i15i22i30j0i22i30l2j0i390l2.1869j1j4&sourceid=chrome&ie=UTF-8,
Incredibles 2,1243,"1,493",622%,6.2,200,609,49.00%,635,51.00%,"1,243,089,244",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=219,https://en.wikipedia.org/wiki/Incredibles_2,
Independence Day,817,"1,576",1090%,10.9,75,306,37.50%,511,62.50%,"817,400,891",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=290,https://en.wikipedia.org/wiki/Independence_Day_(1996_film),
Independence Day: Resurgence,390,490,236%,2.4,165,103,26.50%,287,73.50%,"389,681,935",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=542,https://www.indiewire.com/2019/11/roland-emmerich-independence-day-resurgence-1202187244/,
Indiana Jones & the Kingdom of the Crystal Skull,791,"1,115",427%,4.3,185,317,40.10%,474,59.90%,"790,653,942",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=300,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,
Indiana Jones & the Last Crusade,474,"1,166",988%,9.9,48,197,41.60%,277,58.40%,"474,171,806",1989,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=449,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade,
Indiana Jones & the Temple of Doom,333,973,1190%,11.9,28,180,54.00%,153,46.00%,"333,107,271",1984,1980's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=652,https://www.google.com/search?q=indiana+jones+and+the+temple+of+doom&stick=H4sIAAAAAAAAAONgVuLQz9U3yI63zHrEaMwt8PLHPWEprUlrTl5jVOHiCs7IL3fNK8ksqRQS42KDsnikuLjgmngWsapk5qVkJuYlKmTl56UWKyTmpSiUZKQqlKTmFuSkKuSnKaTk5-cCAAIGAk9pAAAA&sa=X&ved=2ahUKEwj7rrOWzv77AhX1QEEAHXuRB30Q1i96BAgGEAM&biw=560&bih=913&dpr=2,
Inglourious Basterds,321,453,459%,4.6,70,121,37.50%,201,62.50%,"321,457,747",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=677,https://en.wikipedia.org/wiki/Inglourious_Basterds,
Inside Out,859,"1,094",491%,4.9,175,357,41.60%,502,58.40%,"858,848,019",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=281,https://en.wikipedia.org/wiki/Inside_Out_(2015_film),
Interstellar,774,985,469%,4.7,165,188,24.30%,586,75.70%,"773,897,851",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=307,"https://en.wikipedia.org/wiki/Interstellar_(film)#:~:text=Interstellar%20grossed%20%24188%20million%20in,production%20budget%20of%20%24165%20million.",
Iron Man,586,826,418%,4.2,140,319,54.50%,267,45.50%,"585,796,247",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=381,https://en.wikipedia.org/wiki/Iron_Man_(2008_film),
Iron Man 2,624,857,312%,3.1,200,312,50.10%,312,49.90%,"623,933,331",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=363,https://en.wikipedia.org/wiki/Iron_Man_2,
Iron Man 3,1215,"1,571",607%,6.1,200,409,33.70%,806,66.30%,"1,214,811,252",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=221,https://en.wikipedia.org/wiki/Iron_Man_3,
It,702,860,1755%,17.5,40,329,46.90%,373,53.10%,"701,842,551",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=333,https://en.wikipedia.org/wiki/It_(2017_film),
It Chapter Two,473,560,599%,6,79,212,44.70%,262,55.30%,"473,122,525",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=451,https://en.wikipedia.org/wiki/It_Chapter_Two,
Jason Bourne,415,522,346%,3.5,120,162,39.10%,253,60.90%,"415,484,914",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=508,"https://en.wikipedia.org/wiki/Jason_Bourne_(film)#:~:text=Jason%20Bourne%20became%20a%20commercial,production%20budget%20of%20%24120%20million.",
Jaws,477,"2,723",5295%,52.9,9,266,55.80%,211,44.20%,"476,512,065",1975,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=445,https://en.wikipedia.org/wiki/Jaws_(film),
John Wick: Chapter 3 - Parabellum,328,388,438%,4.4,75,171,52.10%,157,47.90%,"328,349,387",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=662,"https://en.wikipedia.org/wiki/John_Wick:_Chapter_3_%E2%80%93_Parabellum#:~:text=The%20film%20grossed%20%24326%20million,visual%20style%2C%20and%20Reeves's%20performance.",
Joker,1105,"1,307",1578%,15.8,70,335,30.40%,769,69.60%,"1,104,943,613",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=231,https://en.wikipedia.org/wiki/Joker_(2019_film),
Journey 2: The Mysterious Island,335,440,419%,4.2,80,104,31.00%,231,69.00%,"335,287,748",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=646,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)#:~:text=The%20film%20was%20a%20box,Supporting%20Actress%20for%20Taraji%20P.",
Jumanji: The Next Level,802,948,607%,6.1,132,320,40.00%,481,60.00%,"801,693,929",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=294,"https://en.wikipedia.org/wiki/Jumanji:_The_Next_Level#:~:text=The%20film%20received%20generally%20positive,highest%2Dgrossing%20film%20of%202019.",
Jumanji: Welcome to the Jungle,963,"1,180",1069%,10.7,90,405,42.00%,558,58.00%,"962,542,945",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=254,https://www.imdb.com/title/tt2283362/,
Jurassic Park,1110,"2,317",1762%,17.6,63,404,36.40%,706,63.60%,"1,109,802,321",1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=229,https://en.wikipedia.org/wiki/Jurassic_Park_(film),
Jurassic Park III,369,627,397%,4,93,181,49.10%,188,50.90%,"368,780,809",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=580,https://en.wikipedia.org/wiki/Jurassic_Park_III,
Jurassic World,1672,"2,129",1114%,11.1,150,653,39.10%,"1,018",60.90%,"1,671,537,444",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=206,https://www.google.com/search?q=jurassic+world+budget&oq=jurassic+world+budget&aqs=chrome..69i57j0i512l3j0i22i30l6.3116j1j4&sourceid=chrome&ie=UTF-8,
Jurassic World: Dominion,1001,"1,060",541%,5.4,185,376,37.60%,625,62.40%,"1,001,136,080",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=250,https://www.google.com/search?q=jurassic+world+dominion+budget&oq=jurassic+world+dominion+budget&aqs=chrome..69i57j0i512l3j0i22i30l4j0i390l2.4375j0j4&sourceid=chrome&ie=UTF-8,
Jurassic World: Fallen Kingdom,1310,"1,574",701%,7,187,418,31.90%,893,68.10%,"1,310,466,296",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=216,https://en.wikipedia.org/wiki/Jurassic_World:_Fallen_Kingdom,
Justice League,658,807,219%,2.2,300,229,34.80%,429,65.20%,"657,926,987",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=348,https://en.wikipedia.org/wiki/Justice_League_(film),
King Kong,557,869,269%,2.7,207,218,39.20%,339,60.80%,"556,906,378",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=391,"https://en.wikipedia.org/wiki/King_Kong_(2005_film)#:~:text=Filming%20for%20King%20Kong%20took,%2Drecord%2Dbreaking%20%24207%20million.",
Kingsman: The Golden Circle,411,504,395%,4,104,100,24.40%,311,75.60%,"410,902,662",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=515,"https://en.wikipedia.org/wiki/Kingsman:_The_Golden_Circle#:~:text=Kingsman%3A%20The%20Golden%20Circle%20grossed,production%20budget%20of%20%24104%20million.",
Kingsman: The Secret Service,414,528,441%,4.4,94,128,31.00%,286,69.00%,"414,351,546",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=510,https://en.wikipedia.org/wiki/Kingsman:_The_Secret_Service,
Knives Out,313,370,782%,7.8,40,165,52.80%,148,47.20%,"312,897,920",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=691,https://en.wikipedia.org/wiki/Knives_Out,
Kong: Skull Island,567,695,306%,3.1,185,168,29.70%,399,70.30%,"566,652,812",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=388,"https://en.wikipedia.org/wiki/Kong:_Skull_Island#:~:text=With%20a%20production%20budget%20of,million%20worldwide%20to%20break%2Deven.",
Kung Fu Panda,632,892,486%,4.9,130,216,34.10%,416,65.90%,"632,083,197",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=357,https://en.wikipedia.org/wiki/Kung_Fu_Panda_(film),
Kung Fu Panda 2,666,900,444%,4.4,150,165,24.80%,500,75.20%,"665,692,281",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=346,https://www.google.com/search?q=kung+fu+panda+2+budget&oq=kung+fu+panda+2+budget&aqs=chrome..69i57j0i22i30l2j0i390l3.5275j1j4&sourceid=chrome&ie=UTF-8,
Kung Fu Panda 3,521,655,359%,3.6,145,144,27.50%,378,72.50%,"521,170,825",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=420,https://en.wikipedia.org/wiki/Kung_Fu_Panda_3,
La La Land,471,592,1571%,15.7,30,151,32.10%,320,67.90%,"471,226,899",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=452,"https://en.wikipedia.org/wiki/La_La_Land#:~:text=The%20film%20was%20a%20commercial,%2C%20cinematography%2C%20and%20production%20design.",
Les Misérables,442,581,725%,7.3,61,149,33.60%,293,66.40%,"442,299,309",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=481,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),
Lethal Weapon 3,322,694,919%,9.2,35,145,45.00%,177,55.00%,"321,731,527",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=675,https://en.wikipedia.org/wiki/Lethal_Weapon_3,
Life of Pi,609,800,508%,5.1,120,125,20.50%,484,79.50%,"609,016,565",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=372,https://en.wikipedia.org/wiki/Life_of_Pi_(film),
Little Fockers,311,427,311%,3.1,100,148,47.80%,162,52.20%,"310,650,585",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=697,https://en.wikipedia.org/wiki/Little_Fockers,
Live Free or Die Hard,388,571,353%,3.5,110,135,34.70%,254,65.30%,"388,156,011",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=544,https://en.wikipedia.org/wiki/Live_Free_or_Die_Hard,
Logan,619,759,516%,5.2,120,226,36.50%,393,63.50%,"619,179,950",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=367,https://en.wikipedia.org/wiki/Logan_(film),
LOTR: The Fellowship of the Ring,898,"1,527",966%,9.7,93,316,35.20%,582,64.80%,"898,182,036",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=268,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings_(film_series),
LOTR: The Return of the King,1146,"1,878",1220%,12.2,94,378,33.00%,768,67.00%,"1,146,436,214",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=225,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,
LOTR: Two Towers,948,"1,594",1008%,10.1,94,343,36.20%,605,63.80%,"947,939,315",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=259,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers,
Lucy,469,597,1203%,12,39,127,27.00%,342,73.00%,"469,058,574",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=456,"https://en.wikipedia.org/wiki/Lucy_(2014_film)#:~:text=The%20film%20was%20released%20on,the%20budget%20of%20%2439%20million.",
Mad Max: Fury Road,390,496,211%,2.1,185,154,39.60%,235,60.40%,"389,561,515",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=543,"https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road#:~:text=It%20grossed%20%24375.7%20million%20at,%24154.6%E2%80%93185.1%20million%20production%20budget.",
Madagascar,542,846,723%,7.2,75,194,35.70%,348,64.30%,"542,063,846",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=404,https://www.google.com/search?q=madagascar+movie+budget&oq=madagascar+movie+budget&aqs=chrome..69i57j0i15i22i30j0i390l2.3457j0j4&sourceid=chrome&ie=UTF-8,
Madagascar 2,604,852,403%,4,150,180,29.80%,424,70.20%,"603,900,354",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=374,"https://en.wikipedia.org/wiki/Madagascar:_Escape_2_Africa#:~:text=Released%20on%20November%207%2C%202008,died%20before%20the%20film's%20release.",
Madagascar 3,747,981,515%,5.2,145,216,29.00%,531,71.00%,"746,921,274",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=317,https://en.wikipedia.org/wiki/Madagascar_3:_Europe%27s_Most_Wanted,
Maleficent,758,965,421%,4.2,180,241,31.80%,517,68.20%,"758,411,779",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=313,"https://en.wikipedia.org/wiki/Maleficent_(film)#:~:text=COVID%2D19%20pandemic.-,Box%20office,a%20budget%20of%20%24180%20million.",
Maleficent: Mistress of Evil,492,582,266%,2.7,185,114,23.20%,378,76.80%,"491,730,089",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=434,"https://en.wikipedia.org/wiki/Maleficent_(film)#:~:text=COVID%2D19%20pandemic.-,Box%20office,a%20budget%20of%20%24180%20million.",
Mamma Mia!,611,862,1175%,11.8,52,144,23.60%,467,76.40%,"611,257,819",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=371,"https://en.wikipedia.org/wiki/Mamma_Mia!_(film)#:~:text=The%20film%20grossed%20%24611%20million,highest%2Dgrossing%20film%20of%202008.",
Mamma Mia! Here We Go Again,402,483,536%,5.4,75,121,30.00%,282,70.00%,"402,264,843",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=529,https://en.wikipedia.org/wiki/Mamma_Mia!_Here_We_Go_Again,
Man of Steel,668,864,297%,3,225,291,43.60%,377,56.40%,"668,045,518",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=344,https://en.wikipedia.org/wiki/Man_of_Steel_(film),
Mary Poppins Returns,350,420,269%,2.7,130,172,49.20%,178,50.80%,"349,546,142",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=624,https://www.imdb.com/title/tt5028340/,
Maze Runner: The Scorch Trials,312,398,512%,5.1,61,82,26.20%,231,73.80%,"312,296,056",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=692,"https://en.wikipedia.org/wiki/Maze_Runner:_The_Scorch_Trials#:~:text=Reception-,Box%20office,a%20budget%20of%20%2461%20million.",
Meet the Fockers,523,840,653%,6.5,80,279,53.40%,243,46.60%,"522,657,936",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=418,https://en.wikipedia.org/wiki/Meet_the_Fockers,
Meet the Parents,330,583,601%,6,55,166,50.30%,164,49.70%,"330,444,045",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=658,https://en.wikipedia.org/wiki/Meet_the_Parents,
Megamind,322,442,248%,2.5,130,148,46.10%,173,53.90%,"321,885,765",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=672,"https://en.wikipedia.org/wiki/Megamind#:~:text=With%20a%20budget%20of%20%24130,animated%20films%20of%20the%202010s.",
Men in Black,589,"1,103",655%,6.5,90,251,42.50%,339,57.50%,"589,390,539",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=378,https://en.wikipedia.org/wiki/Men_in_Black_(1997_film),
Men in Black 3,654,859,291%,2.9,225,179,27.40%,475,72.60%,"654,213,485",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=352,https://en.wikipedia.org/wiki/Men_in_Black_3,
