title,unadjusted gross ($m),inflation adjusted gross ($m),% budget recovered,x times budget recovered,budget  (m),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label
Apollo 13,355,704,683%,6.8,52,174,48.90%,181,51.10%,"355,237,933",1995,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=607,https://en.wikipedia.org/wiki/Apollo_13_(film),
Aquaman,1149,"1,379",718%,7.2,160,335,29.20%,813,70.80%,"1,148,528,393",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=224,,
Armageddon,554,"1,020",396%,4,140,202,36.40%,352,63.60%,"553,709,788",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=394,https://en.wikipedia.org/wiki/Armageddon_(1998_film),
As Good as It Gets,314,588,628%,6.3,50,148,47.30%,166,52.70%,"314,178,011",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=690,https://en.wikipedia.org/wiki/As_Good_as_It_Gets,
Attack of the Clones,654,"1,099",569%,5.7,115,311,47.50%,343,52.50%,"653,779,970",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=353,https://en.wikipedia.org/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones,
Austin Powers: The Spy Who Shagged Me,312,565,946%,9.5,33,206,66.00%,106,34.00%,"312,016,928",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=695,https://en.wikipedia.org/wiki/Austin_Powers:_The_Spy_Who_Shagged_Me,
Avatar,2923,"4,121",1233%,12.3,237,785,26.90%,"2,138",73.10%,"2,922,917,914",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=200,,
Avatar 2*,2242,"2,242",561%,5.6,400,659,29.40%,"1,583",70.60%,"2,054,734,732",2022,2020's,https://www.the-numbers.com/movie/Avatar-The-Way-of-Water-(2022)#tab=summary,https://variety.com/2022/film/news/avatar-2-budget-expensive-2-billion-turn-profit-1235438907/,YES
Avengers: Age of Ultron,1403,"1,787",561%,5.6,250,459,32.70%,944,67.30%,"1,402,809,540",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=212,,
Avengers: Endgame,2798,"3,309",786%,7.9,356,858,30.70%,"1,939",69.30%,"2,797,501,328",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=201,,
